ip,app,device,os,channel,click_hour,click_time
10.0.5.1,com.android.chrome,desktop,Windows,organic,8,2025-01-01 09:23:45
10.0.39.9,com.android.chrome,mobile,Android,organic,19,2025-01-01 09:20:48
10.0.34.4,com.shopping.app,mobile,iOS,organic,13,2025-01-01 09:14:33
10.0.33.2,com.shopping.app,mobile,Android,organic,0,2025-01-01 09:21:14
10.0.13.8,com.android.chrome,desktop,iOS,organic,14,2025-01-01 09:29:42
10.0.32.6,com.android.chrome,desktop,Android,organic,9,2025-01-01 09:23:20
10.0.16.2,com.android.chrome,mobile,iOS,organic,12,2025-01-01 09:10:06
10.0.42.3,com.news.app,mobile,Android,organic,18,2025-01-01 09:32:18
10.0.29.8,com.shopping.app,desktop,Android,organic,9,2025-01-01 09:12:01
10.0.12.8,com.news.app,desktop,Windows,organic,19,2025-01-01 09:22:32
10.0.18.2,com.android.chrome,mobile,iOS,organic,14,2025-01-01 09:12:15
10.0.43.1,com.android.chrome,desktop,iOS,organic,1,2025-01-01 09:17:40
10.0.23.2,com.android.chrome,mobile,iOS,organic,19,2025-01-01 09:23:11
10.0.25.1,com.shopping.app,desktop,iOS,organic,15,2025-01-01 09:25:12
10.0.9.5,com.news.app,mobile,Windows,organic,23,2025-01-01 09:09:05
10.0.48.4,com.shopping.app,mobile,Windows,organic,7,2025-01-01 09:11:00
10.0.30.3,com.android.chrome,desktop,iOS,organic,6,2025-01-01 09:12:57
10.0.23.4,com.android.chrome,mobile,Windows,organic,19,2025-01-01 09:20:32
10.0.6.4,com.shopping.app,mobile,Android,organic,15,2025-01-01 09:37:40
10.0.3.3,com.news.app,mobile,Android,organic,5,2025-01-01 09:11:24
10.0.27.7,com.shopping.app,desktop,iOS,organic,16,2025-01-01 09:13:25
10.0.42.7,com.news.app,desktop,Windows,organic,16,2025-01-01 09:29:00
10.0.46.7,com.news.app,mobile,Android,organic,19,2025-01-01 09:29:15
10.0.31.9,com.shopping.app,desktop,Android,organic,15,2025-01-01 09:35:24
10.0.49.1,com.shopping.app,desktop,iOS,organic,6,2025-01-01 09:29:45
10.0.44.7,com.news.app,desktop,Windows,organic,2,2025-01-01 09:14:00
10.0.20.9,com.android.chrome,mobile,iOS,organic,2,2025-01-01 09:30:15
10.0.36.7,com.news.app,mobile,Windows,organic,3,2025-01-01 09:24:24
10.0.4.6,com.news.app,mobile,Windows,organic,8,2025-01-01 09:36:54
10.0.17.7,com.android.chrome,desktop,Android,organic,18,2025-01-01 09:20:40
10.0.13.2,com.news.app,desktop,Android,organic,12,2025-01-01 09:41:40
10.0.7.4,com.shopping.app,mobile,Windows,organic,12,2025-01-01 09:29:24
10.0.25.6,com.shopping.app,mobile,iOS,organic,17,2025-01-01 09:25:24
10.0.34.6,com.android.chrome,desktop,iOS,organic,6,2025-01-01 09:27:44
10.0.6.6,com.android.chrome,desktop,iOS,organic,8,2025-01-01 09:12:54
10.0.48.9,com.shopping.app,desktop,iOS,organic,13,2025-01-01 09:36:50
10.0.33.7,com.android.chrome,mobile,iOS,organic,21,2025-01-01 09:30:34
10.0.45.6,com.shopping.app,mobile,iOS,organic,13,2025-01-01 09:13:12
10.0.44.3,com.android.chrome,mobile,Android,organic,2,2025-01-01 09:33:15
10.0.44.7,com.shopping.app,desktop,Windows,organic,16,2025-01-01 09:20:06
10.0.7.6,com.shopping.app,mobile,iOS,organic,7,2025-01-01 09:45:00
10.0.1.7,com.android.chrome,desktop,Android,organic,17,2025-01-01 09:29:28
10.0.29.9,com.shopping.app,mobile,Android,organic,10,2025-01-01 09:31:58
10.0.46.2,com.news.app,mobile,Windows,organic,18,2025-01-01 09:36:48
10.0.11.3,com.android.chrome,desktop,Android,organic,16,2025-01-01 09:44:01
10.0.41.7,com.news.app,mobile,iOS,organic,12,2025-01-01 09:21:00
10.0.46.6,com.android.chrome,mobile,Windows,organic,6,2025-01-01 09:16:27
10.0.21.3,com.news.app,desktop,iOS,organic,5,2025-01-01 09:37:52
10.0.27.5,com.shopping.app,mobile,iOS,organic,6,2025-01-01 09:47:40
10.0.32.1,com.shopping.app,mobile,Windows,organic,4,2025-01-01 09:28:48
10.0.8.6,com.android.chrome,mobile,Android,organic,6,2025-01-01 09:48:20
10.0.22.8,com.android.chrome,mobile,iOS,organic,7,2025-01-01 09:21:54
10.0.43.9,com.shopping.app,mobile,Windows,organic,15,2025-01-01 09:49:00
10.0.39.6,com.shopping.app,desktop,Android,organic,13,2025-01-01 09:22:12
10.0.16.1,com.android.chrome,desktop,Windows,organic,1,2025-01-01 09:22:21
10.0.48.6,com.news.app,mobile,Windows,organic,5,2025-01-01 09:32:30
10.0.14.7,com.android.chrome,desktop,Windows,organic,21,2025-01-01 09:17:37
10.0.42.2,com.shopping.app,mobile,Windows,organic,13,2025-01-01 09:32:56
10.0.36.7,com.android.chrome,desktop,Windows,organic,7,2025-01-01 09:30:36
10.0.28.9,com.android.chrome,desktop,Android,organic,8,2025-01-01 09:48:46
10.0.47.7,com.news.app,desktop,Android,organic,16,2025-01-01 09:36:10
10.0.20.3,com.shopping.app,mobile,Android,organic,7,2025-01-01 09:28:36
10.0.2.1,com.news.app,mobile,Android,organic,13,2025-01-01 09:26:10
10.0.3.1,com.android.chrome,mobile,Android,organic,21,2025-01-01 09:34:14
10.0.31.3,com.news.app,mobile,Android,organic,17,2025-01-01 09:26:30
10.0.43.8,com.android.chrome,mobile,iOS,organic,8,2025-01-01 09:48:00
10.0.28.1,com.shopping.app,mobile,Windows,organic,11,2025-01-01 09:37:34
10.0.42.8,com.android.chrome,mobile,iOS,organic,14,2025-01-01 09:18:54
10.0.8.8,com.news.app,desktop,Android,organic,17,2025-01-01 09:13:35
10.0.36.2,com.android.chrome,mobile,iOS,organic,7,2025-01-01 09:27:20
10.0.24.9,com.news.app,desktop,iOS,organic,2,2025-01-01 09:16:30
10.0.13.5,com.news.app,mobile,Android,organic,5,2025-01-01 09:49:48
10.0.2.9,com.android.chrome,desktop,iOS,organic,11,2025-01-01 09:27:50
10.0.48.6,com.android.chrome,desktop,Android,organic,13,2025-01-01 09:44:48
10.0.19.9,com.news.app,mobile,Windows,organic,13,2025-01-01 09:45:04
10.0.8.2,com.shopping.app,mobile,Android,organic,9,2025-01-01 09:31:10
10.0.16.2,com.news.app,desktop,Windows,organic,22,2025-01-01 09:28:30
10.0.32.2,com.news.app,desktop,Android,organic,13,2025-01-01 09:20:04
10.0.33.1,com.news.app,mobile,Android,organic,9,2025-01-01 09:17:18
10.0.40.9,com.android.chrome,mobile,iOS,organic,12,2025-01-01 09:29:00
10.0.37.9,com.shopping.app,desktop,iOS,organic,16,2025-01-01 09:17:30
10.0.12.5,com.news.app,desktop,Windows,organic,14,2025-01-01 09:20:32
10.0.26.7,com.shopping.app,desktop,Android,organic,8,2025-01-01 09:38:21
10.0.32.2,com.news.app,mobile,Android,organic,5,2025-01-01 09:26:42
10.0.7.5,com.android.chrome,desktop,iOS,organic,9,2025-01-01 09:35:48
10.0.4.5,com.shopping.app,desktop,Windows,organic,14,2025-01-01 09:15:00
10.0.4.6,com.android.chrome,desktop,Windows,organic,7,2025-01-01 09:27:09
10.0.35.4,com.news.app,mobile,iOS,organic,16,2025-01-01 09:30:20
10.0.47.2,com.android.chrome,desktop,Windows,organic,5,2025-01-01 09:18:18
10.0.30.8,com.news.app,mobile,Windows,organic,8,2025-01-01 09:42:56
10.0.5.7,com.news.app,desktop,Android,organic,17,2025-01-01 10:01:40
10.0.15.6,com.shopping.app,desktop,Windows,organic,7,2025-01-01 09:37:12
10.0.3.7,com.android.chrome,desktop,iOS,organic,14,2025-01-01 09:15:35
10.0.36.2,com.news.app,desktop,Windows,organic,12,2025-01-01 09:34:28
10.0.19.3,com.news.app,mobile,iOS,organic,19,2025-01-01 09:59:51
10.0.21.8,com.news.app,desktop,Android,organic,8,2025-01-01 09:44:20
10.0.6.2,com.shopping.app,desktop,iOS,organic,5,2025-01-01 09:28:39
10.0.23.6,com.android.chrome,desktop,Android,organic,15,2025-01-01 09:48:00
10.0.36.8,com.android.chrome,mobile,Windows,organic,16,2025-01-01 09:51:28
10.0.6.8,com.android.chrome,mobile,Android,organic,19,2025-01-01 09:25:52
10.0.42.8,com.shopping.app,desktop,iOS,organic,19,2025-01-01 09:58:30
10.0.45.2,com.shopping.app,mobile,iOS,organic,1,2025-01-01 09:26:08
10.0.25.1,com.shopping.app,mobile,Android,organic,8,2025-01-01 09:26:16
10.0.26.7,com.android.chrome,desktop,Android,organic,14,2025-01-01 09:56:06
10.0.5.6,com.news.app,desktop,Android,organic,20,2025-01-01 09:53:04
10.0.16.8,com.news.app,mobile,Windows,organic,20,2025-01-01 09:36:40
10.0.36.9,com.shopping.app,mobile,iOS,organic,12,2025-01-01 09:56:57
10.0.30.2,com.android.chrome,mobile,Windows,organic,19,2025-01-01 09:37:02
10.0.18.7,com.shopping.app,mobile,Windows,organic,14,2025-01-01 09:27:04
10.0.19.8,com.shopping.app,desktop,Windows,organic,10,2025-01-01 09:20:24
10.0.40.5,com.news.app,mobile,Windows,organic,11,2025-01-01 09:17:05
10.0.9.8,com.shopping.app,mobile,iOS,organic,13,2025-01-01 09:51:30
10.0.14.8,com.android.chrome,desktop,iOS,organic,12,2025-01-01 09:44:51
10.0.19.7,com.news.app,mobile,Windows,organic,19,2025-01-01 09:20:48
10.0.12.5,com.shopping.app,mobile,Android,organic,19,2025-01-01 09:31:21
10.0.18.6,com.shopping.app,mobile,iOS,organic,10,2025-01-01 09:56:00
10.0.20.3,com.news.app,desktop,iOS,organic,20,2025-01-01 09:49:14
10.0.18.2,com.shopping.app,mobile,Windows,organic,7,2025-01-01 10:03:36
10.0.9.6,com.news.app,desktop,Android,organic,6,2025-01-01 09:21:18
10.0.27.9,com.news.app,desktop,iOS,organic,6,2025-01-01 09:49:56
10.0.28.8,com.news.app,mobile,iOS,organic,12,2025-01-01 09:57:20
10.0.17.4,com.shopping.app,desktop,Android,organic,2,2025-01-01 09:32:24
10.0.47.9,com.shopping.app,desktop,Windows,organic,20,2025-01-01 09:36:10
10.0.1.1,com.news.app,mobile,iOS,organic,17,2025-01-01 09:29:04
10.0.10.2,com.news.app,desktop,iOS,organic,1,2025-01-01 09:36:30
10.0.17.2,com.news.app,mobile,Android,organic,7,2025-01-01 09:18:20
10.0.36.3,com.news.app,desktop,Android,organic,9,2025-01-01 09:44:12
10.0.25.3,com.android.chrome,desktop,Android,organic,6,2025-01-01 10:10:18
10.0.11.9,com.news.app,desktop,Android,organic,17,2025-01-01 09:33:27
10.0.39.1,com.android.chrome,desktop,Windows,organic,9,2025-01-01 10:10:56
10.0.20.1,com.news.app,mobile,Windows,organic,20,2025-01-01 10:11:15
10.0.43.1,com.shopping.app,desktop,Android,organic,13,2025-01-01 10:04:02
10.0.17.1,com.shopping.app,mobile,iOS,organic,18,2025-01-01 09:56:45
10.0.26.4,com.news.app,desktop,iOS,organic,17,2025-01-01 09:34:12
10.0.1.5,com.news.app,mobile,Windows,organic,19,2025-01-01 09:45:48
10.0.48.9,com.android.chrome,desktop,Windows,organic,11,2025-01-01 10:05:10
10.0.35.9,com.shopping.app,mobile,iOS,organic,12,2025-01-01 09:50:03
10.0.48.6,com.shopping.app,desktop,iOS,organic,16,2025-01-01 09:34:48
10.0.41.7,com.android.chrome,mobile,iOS,organic,8,2025-01-01 09:31:04
10.0.28.1,com.news.app,mobile,iOS,organic,11,2025-01-01 09:58:30
10.0.47.7,com.news.app,desktop,Android,organic,13,2025-01-01 09:50:55
10.0.41.7,com.shopping.app,desktop,iOS,organic,1,2025-01-01 09:35:24
10.0.45.1,com.android.chrome,mobile,Android,organic,13,2025-01-01 09:55:18
10.0.21.4,com.news.app,desktop,Windows,organic,10,2025-01-01 10:03:28
10.0.39.5,com.shopping.app,desktop,Android,organic,17,2025-01-01 09:55:46
10.0.9.5,com.shopping.app,desktop,Windows,organic,8,2025-01-01 09:44:00
10.0.32.7,com.news.app,mobile,Android,organic,18,2025-01-01 09:36:09
10.0.47.4,com.android.chrome,mobile,Windows,organic,13,2025-01-01 10:16:38
10.0.43.7,com.shopping.app,desktop,iOS,organic,7,2025-01-01 10:12:54
10.0.4.8,com.android.chrome,mobile,Android,organic,16,2025-01-01 10:05:04
10.0.10.6,com.android.chrome,mobile,iOS,organic,13,2025-01-01 09:24:30
10.0.34.3,com.shopping.app,desktop,iOS,organic,4,2025-01-01 09:45:06
10.0.6.9,com.shopping.app,desktop,iOS,organic,10,2025-01-01 09:20:35
10.0.15.2,com.shopping.app,desktop,Windows,organic,15,2025-01-01 09:28:56
10.0.31.7,com.shopping.app,desktop,Android,organic,19,2025-01-01 09:41:30
10.0.15.7,com.android.chrome,mobile,Windows,organic,0,2025-01-01 09:29:10
10.0.3.5,com.shopping.app,desktop,iOS,organic,21,2025-01-01 10:02:45
10.0.3.8,com.shopping.app,desktop,Android,organic,9,2025-01-01 10:24:00
10.0.25.1,com.news.app,desktop,Windows,organic,21,2025-01-01 10:11:41
10.0.44.7,com.news.app,desktop,Android,organic,13,2025-01-01 10:20:26
10.0.49.9,com.shopping.app,desktop,Android,organic,17,2025-01-01 10:03:45
10.0.49.2,com.news.app,mobile,iOS,organic,13,2025-01-01 09:21:20
10.0.20.2,com.android.chrome,desktop,Windows,organic,14,2025-01-01 09:38:33
10.0.13.9,com.news.app,desktop,iOS,organic,8,2025-01-01 09:47:18
10.0.8.8,com.news.app,mobile,Windows,organic,13,2025-01-01 09:51:48
10.0.11.4,com.shopping.app,mobile,iOS,organic,16,2025-01-01 10:13:40
10.0.32.7,com.news.app,mobile,Android,organic,18,2025-01-01 09:47:51
10.0.42.2,com.shopping.app,desktop,iOS,organic,16,2025-01-01 09:21:50
10.0.15.9,com.shopping.app,desktop,iOS,organic,15,2025-01-01 09:56:59
10.0.31.5,com.shopping.app,desktop,Android,organic,18,2025-01-01 09:48:24
10.0.34.5,com.android.chrome,mobile,Windows,organic,9,2025-01-01 09:53:00
10.0.15.9,com.android.chrome,desktop,iOS,organic,14,2025-01-01 10:06:30
10.0.44.6,com.android.chrome,desktop,Android,organic,11,2025-01-01 10:20:06
10.0.18.7,com.android.chrome,desktop,Windows,organic,9,2025-01-01 10:15:56
10.0.23.4,com.shopping.app,mobile,iOS,organic,10,2025-01-01 10:29:40
10.0.32.5,com.shopping.app,mobile,iOS,organic,10,2025-01-01 09:22:30
10.0.43.8,com.news.app,mobile,Windows,organic,9,2025-01-01 09:40:39
10.0.47.9,com.news.app,mobile,Android,organic,14,2025-01-01 09:49:52
10.0.1.1,com.shopping.app,desktop,Android,organic,10,2025-01-01 09:36:24
10.0.2.8,com.shopping.app,desktop,iOS,organic,21,2025-01-01 09:36:32
10.0.14.3,com.shopping.app,desktop,Windows,organic,15,2025-01-01 10:27:05
10.0.5.7,com.news.app,mobile,Windows,organic,7,2025-01-01 10:22:48
10.0.34.4,com.shopping.app,mobile,iOS,organic,10,2025-01-01 10:32:20
10.0.7.8,com.shopping.app,desktop,Windows,organic,9,2025-01-01 09:46:20
10.0.35.5,com.news.app,mobile,Android,organic,16,2025-01-01 09:27:54
10.0.47.3,com.news.app,desktop,iOS,organic,18,2025-01-01 09:46:40
10.0.4.7,com.android.chrome,desktop,Android,organic,19,2025-01-01 09:32:47
10.0.38.1,com.shopping.app,mobile,iOS,organic,14,2025-01-01 09:47:00
10.0.28.7,com.shopping.app,mobile,iOS,organic,8,2025-01-01 10:34:20
10.0.3.4,com.news.app,desktop,iOS,organic,8,2025-01-01 10:06:16
10.0.1.6,com.shopping.app,desktop,iOS,organic,17,2025-01-01 10:01:45
10.0.7.3,com.news.app,mobile,Android,organic,12,2025-01-01 09:57:12
10.0.33.1,com.shopping.app,desktop,Windows,organic,17,2025-01-01 09:38:16
10.0.31.2,com.news.app,mobile,Android,organic,13,2025-01-01 10:12:00
10.0.1.5,com.shopping.app,desktop,Android,organic,15,2025-01-01 09:57:48
10.0.4.2,com.shopping.app,desktop,Windows,organic,12,2025-01-01 09:33:50
10.0.49.4,com.android.chrome,desktop,Android,organic,16,2025-01-01 09:58:12
10.0.26.5,com.android.chrome,mobile,Android,organic,13,2025-01-01 10:37:20
10.0.6.3,com.android.chrome,mobile,Windows,organic,11,2025-01-01 09:48:50
10.0.27.5,com.android.chrome,mobile,Windows,organic,9,2025-01-01 10:28:12
10.0.19.3,com.shopping.app,desktop,Android,organic,5,2025-01-01 09:29:30
10.0.5.7,com.news.app,mobile,Windows,organic,9,2025-01-01 10:38:40
10.0.39.1,com.android.chrome,mobile,iOS,organic,5,2025-01-01 10:39:00
10.0.36.5,com.news.app,desktop,iOS,organic,22,2025-01-01 09:24:50
10.0.28.1,com.android.chrome,desktop,iOS,organic,7,2025-01-01 10:39:40
10.0.9.5,com.news.app,mobile,Android,organic,17,2025-01-01 09:45:00
10.0.25.4,com.android.chrome,mobile,Windows,organic,18,2025-01-01 10:20:16
10.0.2.2,com.news.app,mobile,iOS,organic,15,2025-01-01 10:10:28
10.0.31.7,com.android.chrome,desktop,iOS,organic,13,2025-01-01 09:35:21
10.0.23.8,com.news.app,mobile,Android,organic,7,2025-01-01 09:35:28
10.0.37.2,com.news.app,mobile,iOS,organic,11,2025-01-01 10:01:00
10.0.48.7,com.shopping.app,desktop,Windows,organic,9,2025-01-01 09:40:48
10.0.32.5,com.shopping.app,mobile,iOS,organic,7,2025-01-01 10:01:24
10.0.39.4,com.android.chrome,desktop,Android,organic,13,2025-01-01 10:17:00
10.0.46.5,com.news.app,mobile,Android,organic,8,2025-01-01 09:30:54
10.0.24.4,com.news.app,desktop,iOS,organic,19,2025-01-01 10:43:20
10.0.45.7,com.shopping.app,desktop,Windows,organic,19,2025-01-01 09:36:17
10.0.14.7,com.android.chrome,mobile,iOS,organic,8,2025-01-01 10:28:24
10.0.11.5,com.shopping.app,mobile,Windows,organic,6,2025-01-01 09:57:23
10.0.47.4,com.android.chrome,desktop,iOS,organic,7,2025-01-01 10:39:26
10.0.36.5,com.news.app,desktop,Android,organic,11,2025-01-01 09:36:45
10.0.34.9,com.shopping.app,desktop,iOS,organic,15,2025-01-01 10:03:12
10.0.16.6,com.android.chrome,mobile,Windows,organic,7,2025-01-01 10:45:40
10.0.26.3,com.android.chrome,mobile,Windows,organic,8,2025-01-01 10:03:36
10.0.5.7,com.news.app,mobile,iOS,organic,17,2025-01-01 10:46:20
10.0.22.9,com.android.chrome,mobile,Windows,organic,10,2025-01-01 10:25:20
10.0.16.7,com.android.chrome,desktop,Android,organic,14,2025-01-01 09:53:30
10.0.1.7,com.shopping.app,desktop,Windows,organic,7,2025-01-01 09:59:02
10.0.10.6,com.android.chrome,mobile,Windows,organic,6,2025-01-01 10:31:31
10.0.20.6,com.news.app,desktop,Android,organic,12,2025-01-01 10:21:00
10.0.45.3,com.news.app,mobile,Android,organic,11,2025-01-01 10:05:00
10.0.36.2,com.news.app,desktop,Windows,organic,6,2025-01-01 09:43:28
10.0.6.7,com.news.app,mobile,Windows,organic,14,2025-01-01 09:43:36
10.0.38.2,com.android.chrome,desktop,iOS,organic,12,2025-01-01 10:32:56
10.0.20.5,com.android.chrome,desktop,iOS,organic,14,2025-01-01 10:49:40
10.0.6.3,com.android.chrome,desktop,Windows,organic,6,2025-01-01 09:33:00
10.0.26.4,com.shopping.app,mobile,iOS,organic,16,2025-01-01 10:44:49
10.0.48.9,com.shopping.app,mobile,Windows,organic,7,2025-01-01 10:28:32
10.0.36.1,com.news.app,desktop,Android,organic,12,2025-01-01 10:28:48
10.0.32.9,com.android.chrome,desktop,Windows,organic,16,2025-01-01 09:55:40
10.0.31.7,com.news.app,desktop,Windows,organic,2,2025-01-01 10:51:40
10.0.32.6,com.news.app,mobile,Android,organic,9,2025-01-01 10:18:24
10.0.26.8,com.android.chrome,desktop,Windows,organic,18,2025-01-01 09:44:56
10.0.30.1,com.shopping.app,desktop,Windows,organic,17,2025-01-01 10:01:58
10.0.19.8,com.news.app,mobile,Android,organic,12,2025-01-01 10:19:06
